comment,rating
"[MORICO LÊ LỢI] 
Mọi người đã thử qua dessert theo mùa mới nhất “Spring Yokoso” của Morico chưa thế ^^ Mình chọn Sakura Ame Plated Dessert vì thật sự ấn tượng bởi quán lấy cảm hứng từ nguyên mùa hoa sakura í ^^ trong đây nào là có genmaicha crumble, genmaicha mousse, jelly sakura, panna cotta sakura, dâu tây và cả bánh yogurt đặc biệt. Panna cotta thiệt sự rất ngon luôn mng ơi, mịn màng, bóng lưỡng lại còn béo ngậy. Sakura Jelly có lẽ mình hông thích nhất tuy trông rất đẹp, bên trong còn có cả hoa nhưng ăn thì nhạt 😂 mình nghĩ là nên dùng chung với các thành phần khác như là crumble hoặc là bánh yogurt thì sẽ okii hơn ^^
Check my instagram: minhhien25052001 for new post ^^",8
"Đây là món tráng miệng menu Special Yokoso, mà mùa này là lâu rồi giờ mình mới đăng hình. Đây là 1 set dessert bento khoảng 198k
Vừa có cả kem tươi nè với kem kem gelato. Mình thấy ưng nhất là món Monaka gelato - Bánh kẹp kem có 3 vị matcha, houjicha, rasberry. Tròn set này còn có Pannacotta nữa ngon lâm",8
"Morico chưa bao giờ làm mình thất vọng về chất lượng phục vụ và thức ăn. Muốn ăn dessert thậm chí món ăn mặn Nhật cứ đến đây là chuẩn rồi
Lần này mình ngồi trên lầu rất yên tĩnh , chụp ảnh thì hơi tối một xíu.

Tụi mình gọi 1 Iced Hojicha latte, 1 Hokkaido Milk Crepe và 1 parfait 12 viên. Parfait đắt nhưng xắt ra miếng vì gồm đến 12 viên kem bé, 2 đứa ăn muốn ná thở, 3 người thì vừa. Kem được trang trí hình con heo dễ thương. Các vị kem đa số đều ngon, k quá ngọt. Tụi mình còn dc bốc thăm trúng một cây bút bi hình bé heo nữa. Năm con heo nên all about heo nà😂 Iced Houjicha vẫn tuyệt và dễ uống hơn mọi khi. Hokkaido milk crepe k ấn tượng lắm. 

Giữ xe miễn phí.",8
"*Foody hân hạnh tài trợ chương trình này*
Bao tháng ngày chăm chỉ review đã đổi lấy 2 voucher tổng trị giá 200k đi ăn Morico (lần trước lấy đc 1 voucher à, biết vậy gom lại 3 cái đi cho đã). Nói vậy chứ vẫn review trung thực thẳng thắn nha

Vị trí: dễ tìm nha, mặt tiền hơi bé xíu mà cái bảng Morico cao dễ thấy lắm, tới thì chú giữ xe sẽ lấy chìa khóa mang xe đi để giùm

Không gian: nhẹ nhàng, rộng và thoáng, có hẳn 2 tầng luôn, tầng trên ngay chỗ chế biến có bàn dàu như bar ấy, k biết có nhu cầu thì có đc ngồi đó ăn luôn k. 

Nhân viên: điểm cộng to đùng và làm mình thực sự sung sướng. Nhân viên k chỉ nhẹ nhàng thân thiện nhiệt tình (mỉm cười hoài à) mà còn để ý châm nước liên tục cho mình, ăn xong sẽ lại xin dọn cho mình luôn nữa. Cảm giác như món ăn ngon hơn nhờ phục vụ toẹt vời ấy

Món ăn: 
Salad cá sống, bạch tuộc và đủ loại rau cùng với sốt mè là 138k. Dĩa salad to lắm nha, 2 người ăn cũng được nữa. Tổng thể rất vừa miệng. Sốt mè béo nhẹ hơi chua xíu. Rau đủ loại cắt vừa ăn, được trộn sẵn rồi nên thấm sốt hơn đậm vị hơn hẳn. Cá nhiều, mềm nhưng k được mát lạnh như mình tưởng tượng
Tráng miệng 78k, có thạch ( warabi mochi, k mùi k vị) lăn với bột đậu nành rang, kem mè đen, sốt đậu đỏ và sốt mật
Kem mè đen ngọt vừa, mùi mè rõ ràng luôn, bùi bùi khét khét (mình mô tả hơi kém). Đậu đỏ thì ngọt gắt, ăn như chè đậu đỏ ấy, mà đậu đỏ nấu nhừ còn nguyên hạt. Sốt mật cũng ngọt mà thơm thơm dễ ăn hơn. Kem mát mát ngọt nhẹ ăn với thạch mềm mướt lại hơi bùi của đậu nành rang và ngọt thơm của sốt mật kết hợp vào. Yayyy. À bánh gạo nay ăn mềm mại dẻo hơn lần bữa mình ăn bên Mạc Đĩnh Chi",8.4
"Kakigori và Parfait 2 món tráng miệng ngon nhất mình từng ăn. Cả 2 món đều có topping đa dạng như whipping cream, gelato, soft cream, shiratama, panna cotta, kten, đậu đỏ, warabi. Ăn 2 món mà cứ tưởng như ăn hết nguyên cái menu vậy đó. Do là mình order toàn matcha nên có phần hơi ngấy xíu.
Tổng thiệt hại 548k, nhờ voucher 100k đổi trên foody nên chỉ còn 448k.",10
"Quán có không gian rộng, trang trí đơn giản, ấm cúng, thích nhất những món tráng miệng hoặc nước uống trang trí rất công phu cầu kỳ, mình gọi ly matcha parfait ăn ngon, có cảm giác khám phá từng tầng thật thú vị, vừa có kem tươi, kem viên, panna cotta, bánh nếp, gạo rang, thạch... mặc dù ăn xong ly này bao mập nhưng vẫn chấp nhận :) đá bào trà xanh có đậu đỏ, kem tươi và bánh nếp phủ gạo rang cũng ngon. Món mặn mình gọi cơm chiên cá hồi nêm nếm vừa ăn, nhân viên cũng lịch sự, món lên khá nhanh.",9
"Morico vẫn luôn là quán ruột của mình nhiều năm qua, chất lượng ổn định, nhân viên lịch sự, không gian thoáng đãng, nói chung ngoại trừ giá hơi đắt thì mình hài lòng với mọi thứ ✌🏻Nay ăn lại bento gà teriyaki, vẫn ngon, mỗi tội gà hơi ít 😂 Mình thì không thích cái đĩa xúc xích cà chua bông cải xanh kia lắm, thấy để trứng cuộn hay khoai tây nghiền thì ngon hơn 🤔",8.2
Cập nhật menu tiếp,8.6
Mình xin cập nhật thêm menu của quán,8.6
"Mình mới đến ăn ở quán, thấy menu có thay đổi nên xin cập nhật thêm, những phần cơm bento hoặc combo cũ đã được thay đổi, từ món ăn đến giá cả hiện tại cũng khác so với menu cũ, những set ăn gồm trứng hấp, cơm, bánh xếp, canh miso như menu cũ đã được thay thế bằng những dạng bento khác, theo mình thấy giá menu mới có phần nhỉnh cao hơn so với trước đây, có 2 quyển riêng cho phần suất ăn và nước uống. Menu mới đẹp, hình ảnh bắt mắt, nhìn hình thôi đã thấy ngon.",8.6
